2020-08-02 13:36:16,b'RT @AKA_RealDirty: .@JesseBWatters Shift in support to @realDonaldTrump in battleground states. https://t.co/XweyOKgKpb'
2020-08-02 13:36:16,b'RT @realDonaldTrump: Death penalty! He killed and badly wounded many. Justice!'
2020-08-02 13:36:16,b'RT @elizableu: If @Jack does not have a comprehensive &amp; transparent way to eliminate child exploitation &amp; human trafficking on this platfor\xe2\x80\xa6'
2020-08-02 13:36:16,b'RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!'
2020-08-02 13:36:16,b'RT @lynnluvseddie: Dead people even hate you @realDonaldTrump  LMAO \xf0\x9f\x98\x82 https://t.co/f8p4r5XpnN'
2020-08-02 13:36:16,"b'RT @realDonaldTrump: When you see the Drug Companies taking massive  television ads against me, forget what they say (which is false), YOU\xe2\x80\xa6'"
2020-08-02 13:36:16,b'@realDonaldTrump Kinda better come out and shut down enemies..'
2020-08-02 13:36:16,b'RT @tedlieu: Dear @realDonaldTrump: Please pull your head out of wherever it is &amp; deal with reality. Testing doesn\xe2\x80\x99t cause Cases. The virus\xe2\x80\xa6'
2020-08-02 13:36:16,"b'RT @MiriamG216: President Trump @POTUS @realDonaldTrump with all due respect Sir, we know BHO authorized the use of propaganda on US citize\xe2\x80\xa6'"
2020-08-02 13:36:16,b'@SexCounseling @realDonaldTrump Trump doesn\xe2\x80\x99t lol'
2020-08-02 13:36:16,"b""RT @cheris0722: @realDonaldTrump You're all going to prison. https://t.co/z4nTvqxkSB"""
2020-08-02 13:36:16,b'RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!'
2020-08-02 13:36:16,b'@PhilipRucker @agearan @goldsteinamy @seungminkim It\xe2\x80\x99s what we\xe2\x80\x99ve come to expect from @realDonaldTrump - nothing.'
2020-08-02 13:36:16,"b""FBI officials hid copies of 'key documents' after @realDonaldTrump fired @Comey, says new book.\n\nhttps://t.co/UQT8euClHw"""
2020-08-02 13:36:16,"b'RT @vrjrdgstknng: LEAKED: Trump\'s ""Full &amp; Complete Healthcare Plan"". \n@realDonaldTrump #TrumpCare\nPlease RT my drawing to remind him that t\xe2\x80\xa6'"
2020-08-02 13:36:15,"b""RT @ProjectLincoln: Where's the plan, @realDonaldTrump?"""
2020-08-02 13:36:15,b'RT @realDonaldTrump: This is outrageous. Must be met with immediate litigation! @GOPChairwoman'
2020-08-02 13:36:15,"b'RT @LacyJohnsonMN: When @BarackObama spoke of payroll tax cuts, it was good for the people. \n\nWhen @realdonaldtrump requests a payroll tax\xe2\x80\xa6'"
2020-08-02 13:36:15,"b'RT @realDonaldTrump: Was in the Great State of Texas this week and explained that the Radical Left Do Nothing Democrats, headed up by their\xe2\x80\xa6'"
2020-08-02 13:36:15,"b'RT @StateDept: .@SecPompeo: China is increasingly authoritarian at home, and more aggressive in its hostility to freedom everywhere else. P\xe2\x80\xa6'"
2020-08-02 13:36:15,b'@DeweyOxburger2 @38YearsForward @Camellia_Alexan @EvanAKilgore @realDonaldTrump So what your looking for is\xe2\x80\xa6 https://t.co/L3Px8gXMvf'
2020-08-02 13:36:15,b'RT @michelefromMA: @realDonaldTrump @GOPChairwoman We must protect our #USPS from trump\xe2\x80\x99s new donor buddy that he put in charge in an attem\xe2\x80\xa6'
2020-08-02 13:36:15,b'RT @Hoosiers1986: Thank you @realDonaldTrump for loving our country &amp; protecting us from the evil Democratic Party!\n\nYou deserve all of our\xe2\x80\xa6'
2020-08-02 13:36:15,b'@paulcshipley @realDonaldTrump @JoeBiden The story of Joe is one of a career politician milking the system for pers\xe2\x80\xa6 https://t.co/mFSOw6zj7J'
